package,fun_name,file,line1,col1,line2,col2,call_fun_name,args
maxLik,maxNR,NA,NA,NA,NA,NA,eval,as.call(cl)
metafor,rma.mh,NA,NA,NA,NA,NA,eval,"mf.bi, data, sys.frame(sys.parent())"
nlme,getData.nls,NA,NA,NA,NA,NA,eval,"asOneSidedFormula(subset)[[2]], data"
TeachingDemos,rotate.cloud,NA,NA,NA,NA,NA,evalq,"tcltk::tclvalue(val2), slider.env"
ade4,plot.4thcorner,NA,NA,NA,NA,NA,eval,"appel$typetest, sys.frame(0)"
ergm,ergm_proposal.character,NA,NA,NA,NA,NA,eval,"as.call(list(f, arguments, nw))"
rms,ggplot.Predict,NA,NA,NA,NA,NA,eval,parse(text = labels[ii])
R6,encapsulate,/tmp/RtmpF5s3Ig/R.INSTALL3857f7b6889a8/R6/R/aaa.R,16,3,16,21,eval,"expr, capsule"
gtools,unByteCode,NA,NA,NA,NA,NA,eval,parse(text = deparse(fun))
ade4,wca.rlq,NA,NA,NA,NA,NA,eval.parent,appel$dudiQ
np,npplot.plbandwidth,NA,NA,NA,NA,NA,eval,efunE
car,qqPlot.formula,NA,NA,NA,NA,NA,eval,"m, parent.frame()"
ff,ffapply,/tmp/Rtmp6L2U57/R.INSTALLd225482d4e2b/ff/R/ffapply.R,702,7,702,17,eval,"e1, p"
rpart.plot,prp,NA,NA,NA,NA,NA,eval.parent,dots$xl
AER,update.tobit,NA,NA,NA,NA,NA,eval,"call, parent.frame()"
lattice,cloud.formula,NA,NA,NA,NA,NA,eval,strip
np,npplot.plbandwidth,NA,NA,NA,NA,NA,eval,eehyE
np,npplot.plbandwidth,NA,NA,NA,NA,NA,eval,"tmf.xf, parent.frame()"
TeachingDemos,vis.gamma,/tmp/Rtmp5RA6yI/R.INSTALL3aefb4377dd0/TeachingDemos/R/vis.gamma.R,269,3,269,67,evalq,"tcltk::tkconfigure(e, textvariable = ymax), slider.env"
np,npcdistbw.formula,NA,NA,NA,NA,NA,eval,"mf[[m[1]]], parent.frame()"
colorspace,choose_palette_tcltk,NA,NA,NA,NA,NA,eval,"parse(text = sprintf(""pal_args$c%1$d <- arg$c[%1$dL]"", i))"
Hmisc,xYplot,NA,NA,NA,NA,NA,eval,"parse(text = yvname), data"
ade4,suprow.pta,NA,NA,NA,NA,NA,eval.parent,appel.kta1$dudiwit
rms,npsurv,NA,NA,NA,NA,NA,eval,"m, sys.parent()"
np,npplreg.formula,NA,NA,NA,NA,NA,eval,"tmf, environment(tt)"
np,npplot.scbandwidth,NA,NA,NA,NA,NA,eval,pxlabE
lmerTest,update.lmerModLmerTest,NA,NA,NA,NA,NA,eval,"call, sf"
insight,get_data.plm,NA,NA,NA,NA,NA,eval,parse(text = .safe_deparse(x$call))[[1]]$index
data.table,[.data.table,NA,NA,NA,NA,NA,eval,"jsub, lapply(substring(..syms, 3L), get, pos = parent.frame()), parent.frame()"
np,npplot.plbandwidth,NA,NA,NA,NA,NA,eval,pxE
xts,plot.xts,NA,NA,NA,NA,NA,eval.parent,plot.call$mar
colorspace,GetPalette,NA,NA,NA,NA,NA,eval,"substitute(alist(n = , h = d1, c = d2, l = d3, power = d4, gamma = NULL, fixup = d5, alpha = 1, palette = NULL, rev = d6, register = d7, ... = , h1 = , h2 = , c1 = , c2 = , l1 = , l2 = ,     p1 = , p2 = , cmax = , c. = ), list(d1 = c(arg$h1, arg$h2), d2 = c(arg$c1, arg$cmax, arg$c2), d3 = c(arg$l1, arg$l2), d4 = c(arg$p1, arg$p2), d5 = arg$fixup, d6 = arg$reverse, d7 = arg$register))"
metafor,to.long,NA,NA,NA,NA,NA,eval,"mf.sdi, data, sys.frame(sys.parent())"
nlme,pairs.lmList,NA,NA,NA,NA,NA,eval,"covF[[2]], list(. = object)"
zoo,subset.zoo,NA,NA,NA,NA,NA,eval,"e, xdf, parent.frame()"
np,npplot.bandwidth,NA,NA,NA,NA,NA,eval,tcomp
actuar,cm,NA,NA,NA,NA,NA,eval,"cl, parent.frame()"
R2jags,jags.parallel,NA,NA,NA,NA,NA,eval,expression(n.thin)
np,npplot.scbandwidth,NA,NA,NA,NA,NA,eval,pyE
ggplot2,label_bquote,/tmp/RtmpX0d2E3/R.INSTALLce274ec00947/ggplot2/R/labeller.r,224,7,224,65,eval,"substitute(bquote(expr, params), list(expr = quoted))"
plot3D,image2D.list,NA,NA,NA,NA,NA,eval,"e, as.data.frame(z), parent.frame()"
